chemical_name,company,date_added
dinocap,,11/9/2004 14:00
dinocton,,11/9/2004 14:00
cyflumetofen,Otsuka Chemical Co.,10/29/2004 13:00
pyriprole,Nihon Nohyaku,10/29/2004 13:00
phenyl pyrazolyl ketone herbicides,,10/26/2004 13:00
sulfonamide herbicides,,10/26/2004 13:00
flubendiamide,Nihon Nohyaku,10/21/2004 13:00
lepimectin,Sankyo Agro,10/21/2004 13:00
mandipropamid,Sankyo Agro,10/21/2004 13:00
metaflumizone,BASF,10/21/2004 13:00
orthosulfamuron,Isagro,10/21/2004 13:00
pyrafluprole,Nihon Nohyaku,10/21/2004 13:00
pyrimisulfan,Kumiai Chemical Industry,10/21/2004 13:00
topramezone,BASF,10/21/2004 13:00
merphos,,7/5/2004 8:00
prohexadione,,6/23/2004 13:00
mesosulfuron,,5/20/2004 8:00
diflovidazin,Agro-Chemie,5/11/2004 13:00
fluopicolide,Bayer CropScience,5/11/2004 13:00
penthiopyrad,Mitsui Chemicals,5/11/2004 13:00
oxadiazolone herbicides,,12/29/2005 14:00
diphacinone,,12/6/2005 17:30
epoxiconazole,,12/2/2005 14:00
warfarin,,11/30/2005 10:00
bromacil,,11/24/2005 17:30
mevinphos,,8/12/2005 8:00
boric acid,,8/9/2005 13:00
diatomaceous earth,,8/9/2005 13:00
silica gel,,8/9/2005 13:00
picaridin / icaridin,,5/17/2005 13:00
amisulbrom,Nissan Chemical Industries,5/13/2005 13:00
bencarbazone,Arvesta Corporation,5/13/2005 13:00
pyrasulfotole,Bayer CropScience,5/13/2005 13:00
spirotetramat,Bayer CropScience,5/13/2005 13:00
tridemorph,,4/19/2005 12:30
fenpyroximate,,4/13/2005 8:00
dicyclonon,,2/4/2005 17:30
bixafen,Bayer CropScience,12/22/2006 14:00
fluopyram,Bayer CropScience,12/22/2006 14:00
carboxide,,11/14/2006 14:00
oxamate,,11/14/2006 14:00
spinetoram,Dow AgroSciences,10/3/2006 8:00
spinosyn insecticides,,10/3/2006 8:00
spinosad,,10/3/2006 8:00
chlorantraniliprole,E. I. du Pont de Nemours,9/7/2006 8:00
diamide insecticides,,9/7/2006 8:00
imicyafos,Agro-Kanesho,8/4/2006 13:00
pyrifluquinazon,Nihon Nohyaku,8/4/2006 13:00
pyroxasulfone,Kumiai Chemical Industry,8/4/2006 13:00
isotianil,Bayer CropScience,6/19/2006 13:00
pyroxsulam,Dow AgroSciences,6/19/2006 13:00
tefuryltrione,Bayer CropScience,6/19/2006 13:00
tralopyril,BASF,6/19/2006 13:00
Ester and salt derivatives,,6/16/2006 8:00
InChI identifiers,,4/20/2006 8:00
carbamorph,,3/8/2006 8:30
furyloxyfen,,2/23/2006 14:00
iminoctadine,,2/23/2006 14:00
benfuracarb,,2/22/2006 14:00
fenoxaprop,,2/22/2006 14:00
isopolinate,,2/22/2006 14:00
bromobutide,,2/13/2006 17:30
penconazole,,2/13/2006 17:30
tioxymid,,2/13/2006 17:30
cyenopyrafen,Nissan Chemical Industries,2/8/2006 14:00
cyprosulfamide,Bayer CropScience,2/8/2006 14:00
meptyldinocap,Dow AgroSciences,2/8/2006 14:00
pyribencarb,Kumiai Chemical Industry,2/8/2006 14:00
tembotrione,Bayer CropScience,2/8/2006 14:00
thiencarbazone,Bayer CropScience,2/8/2006 14:00
imidacloprid,Bayer,12/20/2007 13:20
saflufenacil,BASF,12/5/2007 17:10
cyantraniliprole,E. I. du Pont de Nemours,10/28/2008 13:00
indaziflam,Bayer CropScience,10/28/2008 13:00
propyrisulfuron,Sumitomo Chemical Co.,10/28/2008 13:00
sedaxane,Syngenta Crop Protection,10/28/2008 13:00
sulfoxaflor,Dow AgroSciences,10/28/2008 13:00
flutianil,Otsuka Chemical Co.,7/31/2008 7:40
ipfencarbazone,Hokko Chemical Industry,7/23/2008 12:05
glufosinate-P,Meiji Seika Kaisha,7/16/2008 12:15
aminocyclopyrachlor,DuPont Crop Protection,6/12/2008 12:15
alpha-endosulfan,Excel Crop Care,6/12/2008 12:15
isopyrazam,Syngenta Crop Protection,6/12/2008 12:15
buprofezin,Nihon Noyaku,5/1/2008 7:30
esdepallethrine,AFNOR,12/19/2009 23:25
methiozolin,Moghu Research Center,9/26/2009 21:45
tetramethylfluthrin,Jiangsu Yangnong Chemical Co.,9/26/2009 21:45
potassium azide,,8/28/2009 20:55
terbuchlor,,8/28/2009 20:55
latilure,,8/3/2009 20:40
ceralure,,8/2/2009 15:35
ametoctradin,BASF SE,6/26/2009 17:00
bicyclopyrone,Syngenta Crop Protection AG,6/26/2009 17:00
fenoxasulfone,"Kumiai Chemical Industry Co., Ltd.",6/26/2009 17:00
metazosulfuron,"Nissan Chemical Industries, Ltd.",6/26/2009 17:00
penflufen,Bayer CropScience AG,6/26/2009 17:00
pyrametostrobin,Shenyang Research Institute of Chemistry Industry,6/26/2009 17:00
pyraoxystrobin,Shenyang Research Institute of Chemistry Industry,6/26/2009 17:00
tebufloquin,"Meiji Seika Kaisha, Ltd.",6/26/2009 17:00
valifenalate,Isagro S.p.A.,6/26/2009 17:00
cymiazole,Ciba Geigy,5/17/2009 14:00
plifenate,Bayer,5/17/2009 14:00
isofenphos-methyl,,2/20/2009 21:20
naphthaleneacetic acid,,2/20/2009 22:10
alpha-endosulfan,,1/28/2009 16:55
flufiprole,"Dalian Regar Pesticides Co., Ltd.",11/30/2010 21:30
triafamone,Bayer CropScience AG,11/30/2010 21:30
emamectin and emamectin benzoate,Syngenta Crop Protection,11/6/2010 14:45
spinetoram,,10/17/2010 18:35
fenpyrazamine,Sumitomo Chemical Co.,7/24/2010 19:05
clethodim,Arysta LifeScience Corporation,7/17/2010 20:05
antibiotic insecticides and antibiotic acaricides,,7/15/2010 13:15
cyanoacrylate fungicides,Schering; Chinese product," ""2010-07-15 13:15:00"""
pyrethroid oxime insecticides,Chinese products,7/15/2010 13:15
pyriofenone,Ishihara Sangyo Kaisha,2/6/2010 22:50
aryl phenyl ketone fungicides,BASF; Ishihara Sangyo Kaisha,2/6/2010 22:50
methothrin,,1/17/2010 19:25
fluensulfone,Makhteshim Chemical Works,1/16/2010 17:25
fluxapyroxad,BASF,1/16/2010 17:25
meperfluthrin,Youth Chemical Co.,1/16/2010 17:25
ketospiradox,,1/2/2010 22:40
pelargonic acid,,1/2/2010 22:40
flometoquin,Meiji Seika Kaisha and Nippon Kayaku,7/17/2011 14:10
flupyradifurone,Bayer CropScience,7/17/2011 14:10
iofensulfuron,Bayer CropScience,7/17/2011 14:10
methiozolin,,3/22/2011 22:15
flupyrsulfuron-methyl,,3/21/2011 19:25
iodosulfuron-methyl,,3/21/2011 19:25
potassium gibberellate,,3/21/2011 19:25
cyclopyrimorate,Mitsui Chemicals Agro,11/30/2012 19:45
halauxifen,Dow AgroSciences,11/30/2012 19:45
cholecalciferol,,11/8/2012 7:00
sodium tetrathiocarbonate,,10/27/2012 19:20
triflumizole,,10/5/2012 12:00
dichlorprop-P-potassium,,9/25/2012 16:25
dichlorprop-P-sodium,,9/25/2012 16:25
mecoprop,,8/31/2012 17:10
4-CPA-diolamine,,8/31/2012 17:10
benzovindiflupyr,Syngenta Crop Protection,8/10/2012 11:25
anabasine sulfate,,8/8/2012 21:20
herbimycin,,8/8/2012 21:20
pentachlorophenyl laurate,,8/8/2012 21:20
heptafluthrin,Youth Chemical Co.,8/6/2012 13:00
oxathiapiprolin,E. I. du Pont de Nemours,8/6/2012 13:00
pyriminostrobin,Shenyang Sciencreat Chemicals Co.,8/6/2012 13:00
rescalure,Ecologia y Proteccion Agricola,8/6/2012 13:00
coumoxystrobin,Shenyang Research Institute of Chemical Industry,8/3/2012 15:00
enoxastrobin,Shenyang Research Institute of Chemical Industry,8/3/2012 15:00
fenaminstrobin,Shenyang Research Institute of Chemical Industry,8/3/2012 15:00
flufenoxystrobin,Shenyang Research Institute of Chemical Industry,8/3/2012 15:00
pyrisoxazole,Shenyang Research Institute of Chemical Industry,8/3/2012 15:00
triclopyricarb,Shenyang Research Institute of Chemical Industry,8/3/2012 15:00
carbonyl sulfide,,6/26/2012 20:45
cyanogen,,6/26/2012 20:45
afidopyropen,Meiji Seika Pharma,4/22/2012 3:00
clacyfos,Central China Normal University,4/22/2012 3:00
isofetamid,Ishihara Sangyo Kaisha,4/22/2012 3:00
pyflubumide,Nihon Nohyaku,4/22/2012 3:00
tolprocarb,Mitsui Chemicals Agro,4/22/2012 3:00
tioxazafen,Monsanto,10/3/2013 15:55
napropamide-M,United Phosphorus Limited,8/20/2013 9:00
picarbutrazox,Nippon-Soda Co. Ltd.,8/20/2013 9:00
triflumezopyrim,E. I. du Pont de Nemours and Company,8/20/2013 9:00
aminopyralid-dimethylammonium,,7/22/2013 9:00
picloram-dimethylammonium,,7/22/2013 9:00
picloram-trolamine,,7/22/2013 9:00
quinclorac-dimethylammonium,,7/22/2013 9:00
izopamfos,,5/27/2013 5:30
tralocythrin,,5/27/2013 5:30
cyclaniliprole,"Ishihara Sangyo Kaisha, Ltd.",5/4/2013 23:30
fenquinotrione,"Kumiai Chemical Industry Co., Ltd.",5/4/2013 23:30
mandestrobin,"Sumitomo Chemical Co., Ltd.",5/4/2013 23:30
momfluorothrin,"Sumitomo Chemical Co., Ltd.",5/4/2013 23:30
tiafenacil,"Dongbu Hannong Co., Ltd.",2/27/2013 17:45
fenoprop-3-butoxypropyl,,11/30/2014 0:10
glyphosate-potassium,,11/30/2014 0:10
kappa-bifenthrin,Cheminova A/S,11/24/2014 21:40
broflanilide,Mitsui Chemicals Agro Inc.,11/24/2014 21:40
dicloromezotiaz,E. I. du Pont de Nemours,11/24/2014 21:40
dipymetitrone,Bayer CropScience AG,11/24/2014 21:40
pyraziflumid,Nihon Nohyaku Co. Ltd.,11/24/2014 21:40
kappa-tefluthrin,Cheminova A/S,11/24/2014 21:40
afoxolaner,DuPont,8/21/2014 15:00
fluhexafon,"Sumitomo Chemical Co., Ltd.",4/30/2014 9:45
tetraniliprole,Bayer CropScience AG,4/30/2014 9:45
tolpyralate,"Ishihara Sangyo Kaisha, Ltd.",4/30/2014 9:45
trifludimoxazin,BASF SE,4/30/2014 9:45
clenpirin,,3/16/2014 11:45
fluralaner,Nissan Chemical Industries,3/15/2014 20:50
Index of IUPAC PINs,,2/12/2014 14:00
sodium cacodylate,,1/29/2014 9:00
etnipromid,,11/30/2015 16:00
renofluthrin,Shogun Organics Ltd,11/30/2015 16:00
chloroprallethrin,,5/9/2015 18:55
cyhalodiamide,Sinochem,5/9/2015 18:55
fluazaindolizine,E. I. du Pont de Nemours,5/9/2015 18:55
fluxametamide,Nissan Chemical Industries,5/9/2015 18:55
epsilon-metofluthrin,Sumitomo Chemical Co,5/9/2015 18:55
epsilon-momfluorothrin,Sumitomo Chemical Co,5/9/2015 18:55
pydiflumetofen,Syngenta Crop Protection,5/9/2015 18:55
zeta-cypermethrin,,12/1/2016 14:55
BPCMS,,8/29/2016 16:20
flucythrinate,,8/28/2016 14:55
chloroprallethrin,,8/28/2016 15:05
sarolaner,Zoetis,8/28/2016 17:50
isoxazoline insecticides,,8/28/2016 18:00
chlorphthalim,Mitsubishi Chemical,8/16/2016 23:15
fenpicoxamid,Dow AgroSciences,8/10/2016 16:40
dichlobentiazox,Kumiai Chemical Industry,7/31/2016 19:00
lancotrione,Ishihara Sangyo Kaisha,5/27/2016 21:10
amidochlor,,4/26/2016 16:00
florpyrauxifen,Dow AgroSciences,4/22/2016 12:30
ipfentrifluconazole,BASF,4/22/2016 12:30
mefentrifluconazole,BASF,4/22/2016 12:30
quinofumelin,Mitsui Chemicals Agro,4/22/2016 12:30
quizalofop-P-tefuryl,,12/30/2017 13:35
diflufenzopyr,,12/6/2017 13:10
lotilaner,Elanco,12/6/2017 21:20
cyclopyranil,"Kyoyu Agri Co., Ltd",11/30/2017 21:30
oxazosulfyl,"Sumitomo Chemical Co., Ltd",11/30/2017 21:30
pyridachlometyl,"Sumitomo Chemical Co., Ltd",11/30/2017 21:30
fluopimomide,Shandong United Pesticide Industry Co. Ltd,11/28/2017 20:10
ipflufenoquin,Nippon-Soda Co. Ltd,11/28/2017 22:30
metyltetraprole,"Sumitomo Chemical Co., Ltd",11/18/2017 12:30
tetrazole fungicides,,11/18/2017 12:30
florylpicoxamid,Dow AgroSciences LLC,11/15/2017 21:50
picolinamide fungicides,,11/15/2017 21:55
dimethylvinphos,,11/15/2017 22:15
oxabetrinil,,11/15/2017 22:15
pyrapropoyne,Nissan Chemical Industries,10/17/2017 21:15
pyrazolecarboxamide acaricides,,7/7/2017 17:50
pyrazolecarboxamide insecticides,,7/7/2017 17:50
pyridylpyrazole insecticides,,7/6/2017 17:45
tyclopyrazoflor,Dow AgroSciences LLC,7/3/2017 16:05
rescalure,,6/22/2017 8:35
flupyrimin,"Meiji Seika Pharma Co., Ltd.",6/7/2017 14:50
spiropidion,Syngenta Crop Protection AG,5/8/2017 15:25
aminopyrifen,Agro-Kanesho,5/3/2017 9:30
inpyrfluxam,Sumitomo,5/3/2017 9:30
metcamifen,Syngenta Crop Protection AG,3/30/2017 11:25
acynonapyr,Nippon-Soda Co. Ltd,3/25/2017 10:30
benzpyrimoxan,"Nihon Nohyaku Co., Ltd",3/25/2017 10:30
isoflucypram,Bayer CropScience AG,3/25/2017 10:30
imazapic-ammonium,,3/13/2017 21:35
alpha-bromadiolone,Liphatech,3/10/2017 15:10
pyrazolecarboxamide fungicides,,3/9/2017 17:05
fluindapyr,Isagro S.p.A. and FMC Corporation,3/3/2017 17:50
bioallethrin,,2/7/2017 17:00
dimpropyridaz,BASF,12/19/2018 22:10
beflubutamid-M,FMC,11/12/2018 4:05
fluoxapiprolin,Bayer AG,10/17/2018 12:25
pronitridine,Koch Agronomic Services,8/6/2018 13:55
cycloxaprid,,7/17/2018 18:20
bixlozone,FMC,6/29/2018 22:55
isocycloseram,Syngenta,6/29/2018 22:55
methasulfocarb,,4/23/2018 10:55
polyoxorim,"Kaken Pharmaceutical Co., Ltd.",4/23/2018 10:55
tetrachlorantraniliprole,Sinochem International Crop Care Company,3/11/2018 16:10
bipyrazone,KingAgroot,12/24/2019 18:00
cypyrafluone,KingAgroot,12/24/2019 18:00
quintrione,"Beijing Fajiyin Technology Co., Ltd.",12/24/2019 23:55
tripyrasulfone,KingAgroot,12/24/2019 18:00
phenyluracil herbicides,,11/29/2019 20:30
clopyralid-dimethylammonium,Corteva,9/14/2019 15:00
"2,4-D-methylammonium",Nufarm,8/11/2019 15:00
ningnanmycin,,1/20/2019 23:10
tetflupyrolimet,FMC Corporation,1/17/2019 21:30
Pesticides and other agrochemicals — Principles for the selection of common names (ISO 257:2018),,1/10/2019 0:15
dicamba-biproamine,BASF,1/10/2019 15:00
New modifiers for naming esters and salts,,1/10/2019 17:10
chloroinconazide,Jingbo Agrochemicals Technology Co.,10/21/2020 16:25
esafoxolaner,Merial (now Boehringer Ingelheim),7/2/2020 11:25
tigolaner,Bayer Animal Health,6/30/2020 9:45
cyproflanilide,CAC Nantong Chemical Co.,6/29/2020 15:40
dichlobenz-methyl,,6/21/2020 14:00
flupyrazofos,,6/21/2020 14:00
tolnifanide,,6/21/2020 14:00
trichlophenidine,,6/21/2020 14:00
verbutin,,6/21/2020 14:00
xyloxadine,,6/21/2020 14:00
nicofluprole,Bayer AG,4/20/2020 15:55
aroylcyclohexanedione herbicides,,3/28/2020 11:35
epyrifenacil,"Sumitomo Chemical Co., Ltd",3/23/2020 12:45
fenpyrazone,KingAgroot,2/25/2020 22:50
aminocyclopyrachlor-triethylammonium,Bayer,2/10/2020 11:00
cyclobutrifluram,Syngenta Crop Protection AG,1/9/2020 1:10
flubeneteram,"Dongguan Hec Tech R&D Co., Ltd.",1/9/2020 17:00
dimesulfazet,Nissan Chemical Corporation,1/9/2020 18:35
cyetpyrafen,Sinochem International Crop Care Company Limited,1/9/2020 21:30
flupentiofenox,"Kumiai Chemical Industry Co., Ltd.",1/8/2020 20:40
tartar emetic,,1/2/2020 11:35
"methyl 2,5-dichlorobenzoate",,10/22/2021 21:50
"2,5-dichlorobenzoic acid",,10/22/2021 21:50
trifluenfuronate,"Shandong United Pesticide Industry Co., Ltd",9/9/2021 20:05
imazmox-sodium,,7/22/2021 20:05
indazapyroxamet,FMC,7/19/2021 15:40
imazapyr-ammonium,,7/15/2021 15:15
fenmezoditiaz,BASF,6/20/2021 16:00
fluchlordiniliprole,Hailir Pesticides and Chemicals Group,6/20/2021 16:00
cetoctaelat,,4/9/2021 10:55
manam,,4/9/2021 10:55
metomeclan,Wacker-Chemie,4/9/2021 10:55
sulfathiadiazuron,Ciba-Geigy,4/9/2021 10:55
viniconazole,,4/9/2021 10:55
diamide insecticides,,3/28/2021 11:00
meta-diamide insecticides,,3/28/2021 11:00
phthalamide insecticides,,3/28/2021 11:00
anisiflupurin,Syngenta Crop Protection,3/20/2021 17:15
benquitrione,Shandong Cynda (Chemical) Co.,3/20/2021 17:15
bipyrazone,KingAgroot,3/20/2021 17:15
cypyrafluone,KingAgroot,3/20/2021 17:15
dioxopyritrione,Syngenta Crop Protection,3/20/2021 17:15
fenpyrazone,KingAgroot,3/20/2021 17:15
flufenoxadiazam,BASF,3/20/2021 17:15
flumetylsulforim,Adama Makhteshim,3/20/2021 17:15
fluoxytioconazole,Corteva Agriscience,3/20/2021 17:15
metarylpicoxamid,Corteva Agriscience,3/20/2021 17:15
rimisoxafen,FMC Corporation,3/20/2021 17:15
seboctylamine,Siricit,3/20/2021 17:15
spidoxamat,Bayer,3/20/2021 17:15
tripyrasulfone,KingAgroot,3/20/2021 17:15
umifoxolaner,Merial (now Boehringer Ingelheim),2/19/2022 16:19
mivorilaner,Eli Lilly Co. (now Elano Animal Health),2/19/2022 16:15
modoflaner,"Mitsui Chemicals Agro, Inc.",2/19/2022 16:05
spirobudifen,"Zhejiang Udragon Bioscience Co., Ltd.",4/12/2022 16:51
tiorantraniliprole,"Zhejiang Udragon Bioscience Co., Ltd.",4/12/2022 17:37
fluchloraminopyr,"Qingdao KingAgroot Chemical Compound Co., Ltd.",6/8/2022 15:54
fluchloraminopyr-tefuryl,,6/8/2022 17:04
pyriflubenzoxim,"Jiangsu Agrochem Laboratory Co., Ltd.",6/17/2022 18:04
flufenoximacil,"Qingdao KingAgroot Chemical Compound Co., Ltd.",6/17/2022 18:16
DA-6,,6/17/2022 18:04
iptriazopyrid,Nissan Chemical Corporation,7/16/2022 20:16
flusulfinam,Qingdao KingAgroot Chemical Compound Co.,
flupyroxystrobin,Syngenta AG,8/18/2022 14:32
3-chloro-4-methylaniline,,9/29/2022 19:58
ryanodine,,10/4/2022 15:43
broclozone,Qingdao KingAgroot Chemical Compound Co.,
ledprona,GreenLight Biosciences,10/7/2022 16:54
indolauxipyr,Corteva Agriscience,12/13/2022 18:25
indolauxipyr-cyanomethyl,,12/14/2022 15:09
isoflualanam,,11/29/2023 14:52
piperflanilide,,11/29/2023 14:50
feproxydim,,11/16/2023 15:06
bisulflufen,,11/2/2023 19:30
pioxaniliprole,,11/2/2023 19:28
"p-menthane-3,8-diol",,8/21/2023 15:08
nootkatone,,8/21/2023 15:07
cevadine,,8/14/2023 13:30
veratridine,,8/14/2023 13:30
metproxybicyclone,Syngenta Crop protection,6/23/2023 19:00
sulfiflumin,Bayer CropScience,5/9/2023 16:00
icafolin,Bayer CropScience,1/15/2023 16:00
icafolin-methyl,,1/15/2023 16:05
pyraquinate,"Liaoning Cynda Chemical Co., Ltd.",1/15/2023 16:00
trioxyflanilide,"Zhejiang Udragon Pesticides and Chemicals Co., Ltd",1/2/2025 15:45
isoxafenacil,Nantong Jiangshan Agrochemical and Chemicals Co. Ltd,11/11/2024 19:36
sulfoxamyl,,10/7/2024 16:07
mevalocidin,,7/30/2024 14:30
albucidin,,7/30/2024 14:30
fluquinometoate,"Shandong United Pesticide Industry Co., Ltd.",7/5/2024 15:53
bifemetstrobin,Sumitomo,6/15/2024 12:00
oxalic acid,,6/7/2024 15:51
β-sitosterol,,6/5/2024 17:53
flumetnicam,Syngenta AG,6/5/2024 16:44
bentioflumin,"Jiangsu Yangnong Chemical Co., Ltd.",3/1/2024 15:05
feneptamidoquin,Syngenta AG,3/1/2024 15:00
tiapyrachlor,Corteva Agriscience.,2/26/2024 15:47
fenopyramid,"Shandong United Pesticide Industry Co., Ltd.",2/26/2024 15:45
galquin,Silvateam S.p.A.,2/4/2024 17:39
vadescana,"GreenLight Biosciences, Inc.",2/3/2024 14:11
cybenzoxasulfyl,"Nihon Nohyaku Co., Ltd.",1/30/2024 14:11
cinflubrolin,"Liaoning Cynda Chemical Co., Ltd.",1/20/2024 16:47
carmeconazole,Kureha Corporation,8/20/2025 16:10
enprocymid,"Jiangsu Flag Chemical Industry Co., Ltd.",8/20/2025 16:10
sulfindoflufen,"Shaanxi Sunger Road Bio-Science Co., Ltd.",8/20/2025 16:10
flupymezotiaz,"Qingdao KingAgroot Chemical Compound Co., Ltd.",7/31/2025 19:22
toxapyzone,"Shandong Dehao Chemical Co., Ltd.",6/27/2025 17:00
fendioxypyracil,BASF SE,6/27/2025 17:00
cyclobunofen,"Qingdao KingAgroot Chemical Compound Co., Ltd.",6/12/2025 16:15
imazethapyr-potassium,,5/7/2025 16:15
metcyclofenstrobin,Syngenta AG,5/7/2025 14:00
vinylfluthrin,"Jiangsu Yangnong Chemical Co., Ltd.",4/3/2025 15:50
aminotipyr,"Qingdao KingAgroot Chemical Compound Co., Ltd.",4/3/2025 15:50
flufenauxirim,"Qingdao KingAgroot Chemical Compound Co., Ltd.",3/28/2025 15:50
dimepyrolimet,"Qingdao KingAgroot Chemical Compound Co., Ltd",2/28/2025 15:33
flufenazopyr,"Qingdao KingAgroot Chemical Compound Co., Ltd",2/28/2025 15:37
quinaminoprole,"Jiangsu Yangnong Chemical Co., Ltd",2/28/2025 15:38
prochlorosulfone,Shandong Binnong Technology Co. Ltd,2/8/2025 15:41
